total_num_other_requests,total_num_write_requests,total_wait_cycles,total_num_read_requests,memory_system_cycles,total_rfm_cycles_rank1,total_rfm_cycles_rank0,avg_write_latency_0,write_depart_latency_0,avg_read_latency_0,read_queue_len_avg_0,write_queue_len_0,queue_len_0,num_other_reqs_0,num_write_reqs_0,read_latency_0,priority_queue_len_avg_0,row_hits_0,priority_queue_len_0,row_misses_0,row_conflicts_0,read_row_misses_0,queue_len_avg_0,read_row_conflicts_core_0,read_row_hits_0,write_queue_len_avg_0,read_row_conflicts_0,write_row_misses_0,write_row_conflicts_0,read_queue_len_0,write_row_hits_0,read_row_hits_core_0,read_row_misses_core_0,num_read_reqs_0,trace,slow_timing
0.0,3304.0,166.0,996696.0,8635429.0,0.0,0.0,39393.3906,130155766.0,NaN,0.0,132705030.0,132724459.0,0.0,3304.0,0.0,0.00224991725,2703.0,19429.0,553.0,29.0,0.0,15.3697586,0.0,0.0,15.3675089,0.0,553.0,29.0,0.0,2703.0,0.0,0.0,0.0,602,DDR5_6400BN
0.0,3304.0,68.0,996696.0,8635565.0,0.0,0.0,39374.3359,130092805.0,NaN,0.0,132645678.0,132662794.0,0.0,3304.0,0.0,0.00198203581,2705.0,17116.0,551.0,29.0,0.0,15.3623753,0.0,0.0,15.3603935,0.0,551.0,29.0,0.0,2705.0,0.0,0.0,0.0,602,DDR5_6400AN
0.0,3304.0,333.0,996696.0,8635429.0,0.0,0.0,39386.2383,130132130.0,NaN,0.0,132679256.0,132699778.0,0.0,3304.0,0.0,0.00237648888,2706.0,20522.0,550.0,29.0,0.0,15.3669004,0.0,0.0,15.3645239,0.0,550.0,29.0,0.0,2706.0,0.0,0.0,0.0,602,DDR5_6400C
0.0,281012.0,1504923.0,718988.0,11726831.0,0.0,0.0,644.773376,181189061.0,NaN,0.0,163240884.0,163937149.0,0.0,281012.0,0.0,0.0593736693,72195.0,696265.0,60721.0,148076.0,0.0,13.9796638,0.0,0.0,13.920289,0.0,60721.0,148076.0,0.0,72195.0,0.0,0.0,0.0,620,DDR5_3200BN
0.0,281012.0,1373006.0,718988.0,11630355.0,0.0,0.0,639.90094,179819848.0,NaN,0.0,162377791.0,163015751.0,0.0,281012.0,0.0,0.0548530109,71180.0,637960.0,61300.0,148527.0,0.0,14.0164032,0.0,0.0,13.9615507,0.0,61300.0,148527.0,0.0,71180.0,0.0,0.0,0.0,620,DDR5_3200AN
0.0,281012.0,1605686.0,718988.0,11775111.0,0.0,0.0,648.029785,182104139.0,NaN,0.0,163624799.0,164360552.0,0.0,281012.0,0.0,0.0624837428,73178.0,735753.0,60444.0,147371.0,0.0,13.9583006,0.0,0.0,13.8958178,0.0,60444.0,147371.0,0.0,73178.0,0.0,0.0,0.0,620,DDR5_3200C
0.0,281012.0,1194228.0,718988.0,11513145.0,0.0,0.0,636.293274,178806047.0,NaN,0.0,161841195.0,162406780.0,0.0,281012.0,0.0,0.0491251536,74094.0,565585.0,53704.0,153195.0,0.0,14.106205,0.0,0.0,14.0570803,0.0,53704.0,153195.0,0.0,74094.0,0.0,0.0,0.0,620,DDR5_3600BN
0.0,281012.0,998065.0,718988.0,11375604.0,0.0,0.0,627.959412,176464126.0,NaN,0.0,160536361.0,161031607.0,0.0,281012.0,0.0,0.0435357988,72964.0,495246.0,54261.0,153781.0,0.0,14.1558723,0.0,0.0,14.1123381,0.0,54261.0,153781.0,0.0,72964.0,0.0,0.0,0.0,620,DDR5_3600AN
0.0,281012.0,1297406.0,718988.0,11576902.0,0.0,0.0,640.786438,180068680.0,NaN,0.0,162422238.0,163014420.0,0.0,281012.0,0.0,0.0511520281,74224.0,592182.0,53797.0,152971.0,0.0,14.0810051,0.0,0.0,14.0298538,0.0,53797.0,152971.0,0.0,74224.0,0.0,0.0,0.0,620,DDR5_3600C
0.0,281012.0,973051.0,718988.0,11383651.0,0.0,0.0,631.991699,177597256.0,NaN,0.0,161382936.0,161840453.0,0.0,281012.0,0.0,0.0401907079,74445.0,457517.0,48952.0,157596.0,0.0,14.2169189,0.0,0.0,14.1767302,0.0,48952.0,157596.0,0.0,74445.0,0.0,0.0,0.0,620,DDR5_4000BN
0.0,281012.0,815585.0,718988.0,11276076.0,0.0,0.0,624.400574,175464053.0,NaN,0.0,160218461.0,160624956.0,0.0,281012.0,0.0,0.0360493325,73533.0,406495.0,49125.0,158349.0,0.0,14.2447567,0.0,0.0,14.2087078,0.0,49125.0,158349.0,0.0,73533.0,0.0,0.0,0.0,620,DDR5_4000AN
0.0,281012.0,1120011.0,718988.0,11464073.0,0.0,0.0,634.783569,178381813.0,NaN,0.0,161503846.0,162010986.0,0.0,281012.0,0.0,0.0442373306,75737.0,507140.0,48063.0,157200.0,0.0,14.132062,0.0,0.0,14.0878239,0.0,48063.0,157200.0,0.0,75737.0,0.0,0.0,0.0,620,DDR5_4000C
0.0,281012.0,887178.0,718988.0,11327047.0,0.0,0.0,628.995178,176755195.0,NaN,0.0,160996291.0,161411909.0,0.0,281012.0,0.0,0.0366925299,75202.0,415618.0,44547.0,161258.0,0.0,14.2501307,0.0,0.0,14.213439,0.0,44547.0,161258.0,0.0,75202.0,0.0,0.0,0.0,620,DDR5_4400BN
0.0,281012.0,747131.0,718988.0,11256623.0,0.0,0.0,622.447754,174915288.0,NaN,0.0,160153764.0,160527548.0,0.0,281012.0,0.0,0.0332056955,74292.0,373784.0,45303.0,161409.0,0.0,14.2607203,0.0,0.0,14.2275143,0.0,45303.0,161409.0,0.0,74292.0,0.0,0.0,0.0,620,DDR5_4400AN
0.0,281012.0,1014000.0,718988.0,11407420.0,0.0,0.0,634.309387,178248537.0,NaN,0.0,161692525.0,162138179.0,0.0,281012.0,0.0,0.03906703,76425.0,445654.0,44036.0,160541.0,0.0,14.2133961,0.0,0.0,14.1743298,0.0,44036.0,160541.0,0.0,76425.0,0.0,0.0,0.0,620,DDR5_4400C
0.0,281012.0,716230.0,718988.0,11216496.0,0.0,0.0,624.941956,175616184.0,NaN,0.0,160173700.0,160539647.0,0.0,281012.0,0.0,0.032625787,76695.0,365947.0,40122.0,164189.0,0.0,14.3128166,0.0,0.0,14.2801905,0.0,40122.0,164189.0,0.0,76695.0,0.0,0.0,0.0,620,DDR5_4800BN
