total_num_other_requests,total_num_write_requests,total_wait_cycles,total_num_read_requests,memory_system_cycles,total_rfm_cycles_rank1,total_rfm_cycles_rank0,avg_write_latency_0,write_depart_latency_0,avg_read_latency_0,read_queue_len_avg_0,row_hit_rate_0,write_queue_len_0,queue_len_0,num_other_reqs_0,num_write_reqs_0,read_latency_0,priority_queue_len_avg_0,row_hits_0,priority_queue_len_0,row_misses_0,row_conflicts_0,read_row_misses_0,queue_len_avg_0,read_row_conflicts_core_0,read_row_hits_0,write_queue_len_avg_0,read_row_conflicts_0,write_row_misses_0,write_row_conflicts_0,read_queue_len_0,write_row_hits_0,read_row_hits_core_0,read_row_misses_core_0,num_read_reqs_0,trace,timing,organization
0.0,158658.0,0.0,841342.0,10716253.0,0.0,0.0,993.505737,157627630.0,NaN,0.0,0.709616601,155193375.0,155354214.0,0.0,158658.0,0.0,0.0150088845,112575.0,160839.0,16388.0,29679.0,0.0,14.4970646,0.0,0.0,14.4820557,0.0,16388.0,29679.0,0.0,112575.0,0.0,0.0,0.0,pr_road,DDR5_6400AN,DDR5_design1
0.0,158658.0,0.0,841342.0,10956566.0,0.0,0.0,1013.89807,160863044.0,NaN,0.0,0.698414683,158186825.0,158354605.0,0.0,158658.0,0.0,0.0153131923,110800.0,167780.0,17186.0,30659.0,0.0,14.4529419,0.0,0.0,14.4376287,0.0,17186.0,30659.0,0.0,110800.0,0.0,0.0,0.0,pr_road,DDR5_6400AN,DDR5_design2
0.0,0.0,0.0,1000000.0,13098226.0,0.0,0.0,NaN,0.0,NaN,0.0,NaN,0.0,1050.0,0.0,0.0,0.0,8.01635251,0.0,1050.0,0.0,0.0,0.0,8.01635251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,DDR5_6400AN_BL,DDR5_baseline2
0.0,0.0,0.0,1000000.0,8740646.0,0.0,0.0,NaN,0.0,NaN,0.0,NaN,0.0,701.0,0.0,0.0,0.0,8.02000213,0.0,701.0,0.0,0.0,0.0,8.02000213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,DDR5_6400AN,DDR5_ideal
0.0,0.0,0.0,1000000.0,8740646.0,0.0,0.0,NaN,0.0,NaN,0.0,NaN,0.0,701.0,0.0,0.0,0.0,8.02000213,0.0,701.0,0.0,0.0,0.0,8.02000213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,DDR5_6400AN,DDR5_baseline1
0.0,0.0,0.0,1000000.0,8740646.0,0.0,0.0,NaN,0.0,NaN,0.0,NaN,0.0,701.0,0.0,0.0,0.0,8.02000213,0.0,701.0,0.0,0.0,0.0,8.02000213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,DDR5_6400AN,DDR5_design1
0.0,0.0,0.0,1000000.0,8740646.0,0.0,0.0,NaN,0.0,NaN,0.0,NaN,0.0,701.0,0.0,0.0,0.0,8.02000213,0.0,701.0,0.0,0.0,0.0,8.02000213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,DDR5_6400AN,DDR5_design2
0.0,7099.0,0.0,992901.0,13267061.0,0.0,0.0,29306.1543,208044381.0,NaN,0.0,0.740819216,208206524.0,208251110.0,0.0,7099.0,0.0,0.00336065376,5245.0,44586.0,1741.0,94.0,0.0,15.6968527,0.0,0.0,15.6934929,0.0,1741.0,94.0,0.0,5245.0,0.0,0.0,0.0,625,DDR5_6400AN_BL,DDR5_baseline2
0.0,7099.0,0.0,992901.0,8875675.0,0.0,0.0,19644.3789,139455435.0,NaN,0.0,0.754096031,139552010.0,139592417.0,0.0,7099.0,0.0,0.00455255527,5339.0,40407.0,1650.0,91.0,0.0,15.7275267,0.0,0.0,15.7229748,0.0,1650.0,91.0,0.0,5339.0,0.0,0.0,0.0,625,DDR5_6400AN,DDR5_ideal
0.0,7099.0,0.0,992901.0,8907121.0,0.0,0.0,19697.418,139831961.0,NaN,0.0,0.758333325,139925616.0,139965731.0,0.0,7099.0,0.0,0.00450369995,5369.0,40115.0,1614.0,97.0,0.0,15.713913,0.0,0.0,15.7094097,0.0,1614.0,97.0,0.0,5369.0,0.0,0.0,0.0,625,DDR5_6400AN,DDR5_baseline1
0.0,7099.0,0.0,992901.0,8904737.0,0.0,0.0,19688.2656,139766985.0,NaN,0.0,0.756355941,139860953.0,139901407.0,0.0,7099.0,0.0,0.00454297522,5355.0,40454.0,1628.0,97.0,0.0,15.7108974,0.0,0.0,15.7063551,0.0,1628.0,97.0,0.0,5355.0,0.0,0.0,0.0,625,DDR5_6400AN,DDR5_design1
0.0,7099.0,0.0,992901.0,8907121.0,0.0,0.0,19697.418,139831961.0,NaN,0.0,0.758333325,139925616.0,139965731.0,0.0,7099.0,0.0,0.00450369995,5369.0,40115.0,1614.0,97.0,0.0,15.713913,0.0,0.0,15.7094097,0.0,1614.0,97.0,0.0,5369.0,0.0,0.0,0.0,625,DDR5_6400AN,DDR5_design2
