total_num_other_requests,total_num_write_requests,total_wait_cycles,total_num_read_requests,memory_system_cycles,total_rfm_cycles_rank1,total_rfm_cycles_rank0,avg_write_latency_0,write_depart_latency_0,avg_read_latency_0,read_queue_len_avg_0,row_hit_rate_0,write_queue_len_0,queue_len_0,num_other_reqs_0,num_write_reqs_0,read_latency_0,priority_queue_len_avg_0,row_hits_0,priority_queue_len_0,row_misses_0,row_conflicts_0,read_row_misses_0,queue_len_avg_0,read_row_conflicts_core_0,read_row_hits_0,write_queue_len_avg_0,read_row_conflicts_0,write_row_misses_0,write_row_conflicts_0,read_queue_len_0,write_row_hits_0,read_row_hits_core_0,read_row_misses_core_0,num_read_reqs_0,trace,timing,dw_tag
0.0,974.0,0.0,999513.0,8639907.0,0.0,0.0,182730.062,177979081.0,NaN,0.0,0.805208325,180515606.0,180518297.0,0.0,974.0,0.0,0.000311461685,773.0,2691.0,157.0,30.0,0.0,20.8935471,0.0,0.0,20.8932343,0.0,157.0,30.0,0.0,773.0,0.0,0.0,0.0,623,DDR5_6400AN,1
0.0,46630.0,0.0,953370.0,10183309.0,0.0,0.0,3333.59375,155445471.0,NaN,0.0,0.719528913,154800982.0,154925722.0,0.0,46630.0,0.0,0.0122494567,33543.0,124740.0,8456.0,4619.0,0.0,15.2136917,0.0,0.0,15.2014418,0.0,8456.0,4619.0,0.0,33543.0,0.0,0.0,0.0,pr_twi,DDR5_6400AN,0
0.0,54266.0,0.0,953370.0,10304984.0,0.0,0.0,2880.51489,156314011.0,NaN,0.0,0.752958119,155625923.0,155751737.0,0.0,54266.0,0.0,0.0122090438,40854.0,125814.0,8543.0,4861.0,0.0,15.1142149,0.0,0.0,15.102005,0.0,8543.0,4861.0,0.0,40854.0,0.0,0.0,0.0,pr_twi,DDR5_6400AN,1
0.0,516.0,0.0,999484.0,9311783.0,0.0,0.0,299113.75,154342682.0,NaN,0.0,0.638000011,155489678.0,155493737.0,0.0,516.0,0.0,0.000435899332,319.0,4059.0,171.0,10.0,0.0,16.6986008,0.0,0.0,16.698164,0.0,171.0,10.0,0.0,319.0,0.0,0.0,0.0,600,DDR5_6400AN,0
0.0,1032.0,0.0,999484.0,9325129.0,0.0,0.0,133210.406,137473136.0,NaN,0.0,0.763725519,138078581.0,138085495.0,0.0,1032.0,0.0,0.000741437485,779.0,6914.0,233.0,8.0,0.0,14.8078899,0.0,0.0,14.8071489,0.0,233.0,8.0,0.0,779.0,0.0,0.0,0.0,600,DDR5_6400AN,1
0.0,3612.0,0.0,996388.0,8771790.0,0.0,0.0,24394.0996,88111484.0,NaN,0.0,0.912500024,97890017.0,97899700.0,0.0,3612.0,0.0,0.00110387965,3285.0,9683.0,278.0,37.0,0.0,11.1607437,0.0,0.0,11.1596394,0.0,278.0,37.0,0.0,3285.0,0.0,0.0,0.0,621,DDR5_6400AN,0
0.0,7224.0,0.0,996388.0,8856461.0,0.0,0.0,16964.3574,122550513.0,NaN,0.0,0.950277805,142103339.0,142116448.0,0.0,7224.0,0.0,0.00148016238,6842.0,13109.0,313.0,45.0,0.0,16.0466404,0.0,0.0,16.0451603,0.0,313.0,45.0,0.0,6842.0,0.0,0.0,0.0,621,DDR5_6400AN,1
0.0,179182.0,32.0,820818.0,10487877.0,0.0,0.0,863.099487,154651895.0,NaN,0.0,0.498398066,149777999.0,149946778.0,0.0,179182.0,0.0,0.0160927698,89292.0,168779.0,19726.0,70140.0,0.0,14.2971535,0.0,0.0,14.2810602,0.0,19726.0,70140.0,0.0,89292.0,0.0,0.0,0.0,bc_twi,DDR5_6400AN,0
0.0,234129.0,209.0,820818.0,11456228.0,0.0,0.0,710.218872,166282833.0,NaN,0.0,0.58937043,161120948.0,161313292.0,0.0,234129.0,0.0,0.0167894699,137984.0,192344.0,22415.0,73722.0,0.0,14.0808382,0.0,0.0,14.0640488,0.0,22415.0,73722.0,0.0,137984.0,0.0,0.0,0.0,bc_twi,DDR5_6400AN,1
0.0,3841.0,0.0,996159.0,8713595.0,0.0,0.0,29261.4551,112393251.0,NaN,0.0,0.9306283,118291508.0,118307153.0,0.0,3841.0,0.0,0.00179547013,3555.0,15645.0,263.0,2.0,0.0,13.5773067,0.0,0.0,13.575511,0.0,263.0,2.0,0.0,3555.0,0.0,0.0,0.0,628,DDR5_6400AN,0
0.0,7682.0,0.0,996159.0,8850038.0,0.0,0.0,16211.3408,124535524.0,NaN,0.0,0.958224535,130710230.0,130731568.0,0.0,7682.0,0.0,0.00241106306,7340.0,21338.0,318.0,2.0,0.0,14.7718649,0.0,0.0,14.769454,0.0,318.0,2.0,0.0,7340.0,0.0,0.0,0.0,628,DDR5_6400AN,1
