Write Threshold,Trace Name,Slow Chip,Fast Read Cost,Fast Write Cost,Slow Write Cost,Write Proportion,Average Read Block Size,Normalized Cost (%)
24,bfs_twi,DDR5_6400AN,10,19,19,0.018873,1248.1055979643766,0.0
24,bc_road,DDR5_6400AN,10,15,15,0.241354,75.43933969769292,0.0
24,605,DDR5_6400AN,11,0,0,2.7e-05,559860.0,0.0
24,603,DDR5_6400AN,13,146,146,0.017208,1370.4714086471408,0.0
24,bfs_web,DDR5_6400AN,10,49,49,0.011546,1972.6985446985448,0.0
24,638,DDR5_6400AN,10,47,47,0.00223,9623.967391304348,0.0
24,654,DDR5_6400AN,11,31,31,0.026629,877.5103697024347,0.0
24,644,DDR5_6400AN,13,40,40,0.000445,51837.055555555555,0.0
24,619,DDR5_6400AN,13,13,13,0.072935,304.9700460829493,0.0
48,657,DDR5_1600AN,13,1,1,0.0,0.0,0.0
48,cc_web,DDR5_1600AN,9,19,35,0.075295,589.4968112244898,0.0
48,cc_twi,DDR5_1600AN,10,17,36,0.111238,383.51230038843335,0.0
48,cc_road,DDR5_1600AN,10,25,38,0.107651,397.90767172167705,0.0
48,pr_road,DDR5_1600AN,9,19,36,0.158658,254.54009077155825,0.0
48,648,DDR5_1600AN,12,1,1,0.0,0.0,0.0
48,625,DDR5_1600AN,13,32,44,0.007099,6712.659863945578,0.0
48,bfs_road,DDR5_1600AN,10,19,37,0.196136,196.72662750856583,0.28201085045998103
48,620,DDR5_1600AN,11,12,35,0.007225,6609.573333333334,0.0
48,bc_web,DDR5_1600AN,12,48,56,0.315143,104.31256664127952,0.0
48,641,DDR5_1600AN,13,0,0,5e-06,0.0,0.0
48,607,DDR5_1600AN,17,144,144,0.003454,13267.830985915492,0.0
48,623,DDR5_1600AN,10,10,32,0.000487,97858.5,0.0
48,pr_twi,DDR5_1600AN,10,22,36,0.04663,981.2729145211123,0.0
48,600,DDR5_1600AN,13,17,33,0.000516,81480.3,0.0
48,621,DDR5_1600AN,10,28,40,0.003612,11901.96,0.0
