total_num_other_requests,total_num_write_requests,total_wait_cycles,total_num_read_requests,memory_system_cycles,total_rfm_cycles_rank1,total_rfm_cycles_rank0,avg_write_latency_0,write_depart_latency_0,avg_read_latency_0,read_queue_len_avg_0,row_hit_rate_0,write_queue_len_0,queue_len_0,num_other_reqs_0,num_write_reqs_0,read_latency_0,priority_queue_len_avg_0,row_hits_0,priority_queue_len_0,row_misses_0,row_conflicts_0,read_row_misses_0,queue_len_avg_0,read_row_conflicts_core_0,read_row_hits_0,write_queue_len_avg_0,read_row_conflicts_0,write_row_misses_0,write_row_conflicts_0,read_queue_len_0,write_row_hits_0,read_row_hits_core_0,read_row_misses_core_0,num_read_reqs_0,trace,slow_timing,folder
0.0,14126.0,0.0,992901.0,8791689.0,0.0,0.0,9787.17676,138253666.0,NaN,0.0,0.795831561,138290207.0,138351952.0,0.0,14126.0,0.0,0.00702311005,11226.0,61745.0,2683.0,197.0,0.0,15.7366753,0.0,0.0,15.7296524,0.0,2683.0,197.0,0.0,11226.0,0.0,0.0,0.0,625,DDR5_6400AN,modified_doubleW_traces
0.0,7099.0,0.0,992901.0,17148918.0,0.0,0.0,37947.0898,269386405.0,NaN,0.0,0.743644059,269614529.0,269663391.0,0.0,7099.0,0.0,0.00284927594,5265.0,48862.0,1722.0,93.0,0.0,15.7248049,0.0,0.0,15.7219553,0.0,1722.0,93.0,0.0,5265.0,0.0,0.0,0.0,625,DDR5_3200AN,wb_short_trace
0.0,7099.0,0.0,992901.0,8663775.0,0.0,0.0,19168.668,136078362.0,NaN,0.0,0.759180784,136169888.0,136209160.0,0.0,7099.0,0.0,0.00453289691,5375.0,39272.0,1613.0,92.0,0.0,15.7216864,0.0,0.0,15.7171545,0.0,1613.0,92.0,0.0,5375.0,0.0,0.0,0.0,625,DDR5_6400AN,wb_short_trace
0.0,247459.0,88.0,803864.0,19487201.0,0.0,0.0,1179.1001,291778942.0,NaN,0.0,0.43604967,282224712.0,282612005.0,0.0,247459.0,0.0,0.0198742244,107897.0,387293.0,34542.0,105003.0,0.0,14.5024424,0.0,0.0,14.4825678,0.0,34542.0,105003.0,0.0,107897.0,0.0,0.0,0.0,bfs_road,DDR5_3200AN,modified_doubleW_traces
0.0,247459.0,202.0,803864.0,12057751.0,0.0,0.0,709.503967,175573137.0,NaN,0.0,0.459259152,168348491.0,168561424.0,0.0,247459.0,0.0,0.0176594295,113640.0,212933.0,23247.0,110555.0,0.0,13.9795074,0.0,0.0,13.9618492,0.0,23247.0,110555.0,0.0,113640.0,0.0,0.0,0.0,bfs_road,DDR5_6400AN,modified_doubleW_traces
0.0,196136.0,4.0,803864.0,18057629.0,0.0,0.0,1379.06982,270485255.0,NaN,0.0,0.547070324,264517902.0,264858560.0,0.0,196136.0,0.0,0.018865047,107298.0,340658.0,29004.0,59830.0,0.0,14.6674061,0.0,0.0,14.6485415,0.0,29004.0,59830.0,0.0,107298.0,0.0,0.0,0.0,bfs_road,DDR5_3200AN,wb_short_trace
0.0,196136.0,68.0,803864.0,10935268.0,0.0,0.0,812.522583,159364922.0,NaN,0.0,0.571064413,154868644.0,155047380.0,0.0,196136.0,0.0,0.0163449124,112004.0,178736.0,20363.0,63765.0,0.0,14.1786537,0.0,0.0,14.1623087,0.0,20363.0,63765.0,0.0,112004.0,0.0,0.0,0.0,bfs_road,DDR5_6400AN,wb_short_trace
0.0,14325.0,0.0,992775.0,17390912.0,0.0,0.0,17265.0488,247321823.0,NaN,0.0,0.413166553,246833853.0,246937428.0,0.0,14325.0,0.0,0.00595569704,5912.0,103575.0,7056.0,1341.0,0.0,14.1992226,0.0,0.0,14.1932669,0.0,7056.0,1341.0,0.0,5912.0,0.0,0.0,0.0,620,DDR5_3200AN,modified_doubleW_traces
0.0,14325.0,0.0,992775.0,8891645.0,0.0,0.0,8818.91699,126330996.0,NaN,0.0,0.478333801,125971183.0,126041259.0,0.0,14325.0,0.0,0.00788110681,6844.0,70076.0,5835.0,1629.0,0.0,14.1752462,0.0,0.0,14.1673651,0.0,5835.0,1629.0,0.0,6844.0,0.0,0.0,0.0,620,DDR5_6400AN,modified_doubleW_traces
0.0,7225.0,0.0,992775.0,17235701.0,0.0,0.0,34235.7578,247353343.0,NaN,0.0,0.404444456,247261513.0,247318900.0,0.0,7225.0,0.0,0.0033295427,2912.0,57387.0,3682.0,606.0,0.0,14.3492222,0.0,0.0,14.3458939,0.0,3682.0,606.0,0.0,2912.0,0.0,0.0,0.0,620,DDR5_3200AN,wb_short_trace
