total_num_other_requests,total_num_write_requests,total_wait_cycles,total_num_read_requests,memory_system_cycles,total_rfm_cycles_rank1,total_rfm_cycles_rank0,total_rfm_cycles_rank1_1,total_rfm_cycles_rank0_1,avg_write_latency_0,write_depart_latency_0,avg_read_latency_0,read_queue_len_avg_0,row_hit_rate_0,write_queue_len_0,queue_len_0,num_other_reqs_0,num_write_reqs_0,read_latency_0,priority_queue_len_avg_0,row_hits_0,priority_queue_len_0,row_misses_0,row_conflicts_0,read_row_misses_0,queue_len_avg_0,read_row_conflicts_core_0,read_row_hits_0,write_queue_len_avg_0,read_row_conflicts_0,write_row_misses_0,write_row_conflicts_0,read_queue_len_0,write_row_hits_0,read_row_hits_core_0,read_row_misses_core_0,num_read_reqs_0,avg_write_latency_0_1,write_depart_latency_0_1,avg_read_latency_0_1,read_queue_len_avg_0_1,row_hit_rate_0_1,write_queue_len_0_1,queue_len_0_1,num_other_reqs_0_1,num_write_reqs_0_1,read_latency_0_1,priority_queue_len_avg_0_1,row_hits_0_1,priority_queue_len_0_1,row_misses_0_1,row_conflicts_0_1,read_row_misses_0_1,queue_len_avg_0_1,read_row_conflicts_core_0_1,read_row_hits_0_1,write_queue_len_avg_0_1,read_row_conflicts_0_1,write_row_misses_0_1,write_row_conflicts_0_1,read_queue_len_0_1,write_row_hits_0_1,read_row_hits_core_0_1,read_row_misses_core_0_1,num_read_reqs_0_1,trace,timing
0.0,5.0,0.0,999995.0,15259606.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5936337,32.9997978,0.983533382,37030617.0,596777615.0,0.0,5.0,560437408.0,0.0121493312,983496.0,185394.0,14568.0,1898.0,14568.0,39.1083221,0.0,983496.0,2.42670846,1898.0,0.0,0.0,503563894.0,0.0,0.0,0.0,35940140.0,0.0,0.0,.,0.0,.,37030617.0,37031841.0,0.0,5.0,0.0,8.0211772,0.0,1224.0,0.0,0.0,0.0,2.42678881,0.0,0.0,2.42670846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,641,DDR5_4800AN
0.0,5.0,0.0,999995.0,13125726.0,0.0,0.0,0.0,0.0,0.0,0.0,16.1272106,32.9997864,0.985982478,31842050.0,519147296.0,0.0,5.0,487844768.0,0.0122926533,985945.0,161350.0,12109.0,1908.0,12109.0,39.5518913,0.0,985945.0,2.42592669,1908.0,0.0,0.0,433146158.0,0.0,0.0,0.0,30249793.0,0.0,0.0,.,0.0,.,31842050.0,31843103.0,0.0,5.0,0.0,8.02241339,0.0,1053.0,0.0,0.0,0.0,2.42600703,0.0,0.0,2.42592669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,641,DDR5_6400AN
0.0,3454.0,0.0,996546.0,19291588.0,0.0,0.0,0.0,0.0,88706.6016,306392620.0,14.6863985,32.9995766,0.836771309,309617494.0,1002345552.0,0.0,3454.0,701220718.0,0.0160323773,836732.0,309290.0,35552.0,127669.0,35326.0,51.9576492,0.0,835210.0,16.0493526,125977.0,226.0,1692.0,636614184.0,1522.0,0.0,0.0,47746269.0,88649.9219,306196821.0,.,0.0,0.441860467,309422746.0,309447269.0,0.0,3454.0,0.0,0.0012711758,1520.0,24523.0,227.0,1693.0,0.0,16.0405293,0.0,0.0,16.039257,0.0,227.0,1693.0,0.0,1520.0,0.0,0.0,0.0,607,DDR5_4800AN
0.0,3454.0,0.0,996546.0,17958407.0,0.0,0.0,0.0,0.0,82876.625,286255874.0,14.8041258,32.9995003,0.847642839,289106470.0,935828225.0,0.0,3454.0,654210886.0,0.0162399132,847603.0,291643.0,24165.0,128185.0,23944.0,52.1108665,0.0,846083.0,16.0986691,126486.0,221.0,1699.0,592618518.0,1520.0,0.0,0.0,44191119.0,82872.2578,286240766.0,.,0.0,0.441860467,289091965.0,289115655.0,0.0,3454.0,0.0,0.00131915929,1520.0,23690.0,223.0,1697.0,0.0,16.0991802,0.0,0.0,16.0978622,0.0,223.0,1697.0,0.0,1520.0,0.0,0.0,0.0,607,DDR5_6400AN
0.0,487.0,0.0,999513.0,13043724.0,0.0,0.0,0.0,0.0,514962.906,250786934.0,16.4233685,32.9988785,0.951650083,252677628.0,739256826.0,0.0,487.0,490942798.0,0.013815226,951612.0,180202.0,32982.0,15366.0,32854.0,56.6752892,0.0,951329.0,19.3715878,15297.0,128.0,69.0,430428287.0,283.0,0.0,0.0,29892939.0,514948.188,250779759.0,.,0.0,0.591666639,252670193.0,252673313.0,0.0,487.0,0.0,0.000239195491,284.0,3120.0,182.0,14.0,0.0,19.3712559,0.0,0.0,19.3710155,0.0,182.0,14.0,0.0,284.0,0.0,0.0,0.0,623,DDR5_4800AN
0.0,487.0,0.0,999513.0,9893628.0,0.0,0.0,0.0,0.0,390580.312,190212616.0,17.8577347,32.998558,0.958239317,191626893.0,572210440.0,0.0,487.0,383810655.0,0.0137841245,958201.0,136375.0,26854.0,14905.0,26745.0,57.8362579,0.0,957905.0,19.3687191,14830.0,109.0,75.0,326475462.0,296.0,0.0,0.0,21492683.0,390573.562,190209323.0,.,0.0,0.622916639,191623269.0,191625718.0,0.0,487.0,0.0,0.000247533055,299.0,2449.0,163.0,18.0,0.0,19.3685989,0.0,0.0,19.368351,0.0,163.0,18.0,0.0,299.0,0.0,0.0,0.0,623,DDR5_6400AN
0.0,46630.0,0.0,953370.0,12412925.0,0.0,0.0,0.0,0.0,4173.73779,194621395.0,3065.65332,32.9971352,0.188878313,193580712.0,656822930.0,0.0,46630.0,90511123921.0,0.0268625654,186207.0,333443.0,105983.0,693667.0,102151.0,52.9144363,0.0,156040.0,15.5950918,681048.0,3832.0,12619.0,409590990.0,30167.0,0.0,0.0,29524252.0,4084.07837,190440583.0,.,0.0,0.716204047,189679988.0,189837118.0,0.0,46630.0,0.0,0.0126585793,33388.0,157130.0,10928.0,2302.0,0.0,15.2935038,0.0,0.0,15.2808447,0.0,10928.0,2302.0,0.0,33388.0,0.0,0.0,0.0,pr_twi,DDR5_4800AN
0.0,46630.0,0.0,953370.0,9477095.0,0.0,0.0,0.0,0.0,3169.97412,147815884.0,3187.073,32.9955406,0.228649408,146930142.0,511314227.0,0.0,46630.0,69144727697.0,0.0260491222,225433.0,246870.0,73659.0,686841.0,70077.0,53.9526329,0.0,195117.0,15.5037107,674116.0,3582.0,12725.0,312701850.0,30316.0,0.0,0.0,21695372.0,3094.4751,144295371.0,.,0.0,0.738669753,143631639.0,143751200.0,0.0,46630.0,0.0,0.0126157859,34439.0,119561.0,9586.0,2598.0,0.0,15.1682768,0.0,0.0,15.1556606,0.0,9586.0,2598.0,0.0,34439.0,0.0,0.0,0.0,pr_twi,DDR5_6400AN
0.0,516.0,0.0,999484.0,14054165.0,0.0,0.0,0.0,0.0,440625.625,227362808.0,15.6774912,32.9992752,0.959150016,230569757.0,750509552.0,0.0,516.0,522413330.0,0.0137632508,959104.0,193431.0,27705.0,13143.0,27563.0,53.4012222,0.0,958789.0,16.4057961,13099.0,142.0,44.0,463777278.0,315.0,0.0,0.0,33322510.0,440622.844,227361390.0,.,0.0,0.632000029,230567739.0,230572576.0,0.0,516.0,0.0,0.000344168424,316.0,4837.0,178.0,6.0,0.0,16.4059963,0.0,0.0,16.405653,0.0,178.0,6.0,0.0,316.0,0.0,0.0,0.0,600,DDR5_4800AN
0.0,516.0,0.0,999484.0,11528189.0,0.0,0.0,0.0,0.0,362093.188,186840073.0,16.4173756,32.9991302,0.964216232,189516065.0,624066872.0,0.0,516.0,436481754.0,0.0139158024,964169.0,160424.0,22391.0,13391.0,22259.0,54.1339912,0.0,963851.0,16.4393616,13341.0,132.0,50.0,380420225.0,318.0,0.0,0.0,26586574.0,357620.406,184532126.0,.,0.0,0.634730518,189513710.0,189518038.0,0.0,516.0,0.0,0.000375427568,318.0,4328.0,177.0,6.0,0.0,16.4395313,0.0,0.0,16.4391575,0.0,177.0,6.0,0.0,318.0,0.0,0.0,0.0,600,DDR5_6400AN
