config,trace,memory_access_cycles_recorded_core_0,cycles_recorded_core_0,llc_mshr_unavailable,llc_read_misses,llc_read_access,llc_write_misses,llc_write_access,llc_eviction,num_expected_insts,total_num_other_requests,total_num_write_requests,total_num_read_requests,memory_system_cycles,avg_write_latency_0,avg_read_latency_0,read_queue_len_avg_0,write_latency_0,write_queue_len_0,queue_len_0,num_other_reqs_0,num_write_reqs_0,read_latency_0,priority_queue_len_avg_0,row_hits_0,priority_queue_len_0,row_misses_0,row_conflicts_0,read_row_misses_0,queue_len_avg_0,read_row_conflicts_core_0,read_row_hits_0,write_queue_len_avg_0,read_row_conflicts_0,write_row_misses_0,write_row_conflicts_0,read_queue_len_0,write_row_hits_0,read_row_hits_core_0,read_row_misses_core_0,num_read_reqs_0,total_rfm_cycles_rank1,total_rfm_cycles_rank0
DDR4_3200W_x8_cfg.yaml,602,3261627.0,9098615.0,121.0,1199619.0,2802960.0,1554.0,52147.0,181510.0,10000000.0,0.0,407.0,197891.0,3411981.0,58.791153,55.8836975,1.74665427,23928.0,245522.0,6223301.0,0.0,407.0,11058881.0,0.00534235081,190678.0,18228.0,5195.0,2425.0,5150.0,1.8239553,2297.0,190444.0,0.0719587803,2297.0,45.0,128.0,5959551.0,234.0,190444.0,5150.0,197891.0,NaN,NaN
DDR4_3200W_x8_cfg.yaml,605,1489146.0,7219725.0,161667.0,464273.0,2903287.0,2033.0,779292.0,129090.0,10000000.0,0.0,274.0,145474.0,2707397.0,81.1532822,108.220741,3.23402143,22236.0,121214.0,8895585.0,0.0,274.0,15743304.0,0.00686674332,87860.0,18591.0,5621.0,52267.0,5610.0,3.28565955,52018.0,87846.0,0.044771418,52018.0,11.0,249.0,8755780.0,14.0,87846.0,5610.0,145474.0,NaN,NaN
DDR4_3200W_x8_cfg.yaml,625,767119.0,6074191.0,2075.0,76108.0,2647046.0,12203.0,1328018.0,21573.0,10000000.0,0.0,965.0,37957.0,2277822.0,71.668396,100.248573,0.998871267,69160.0,104683.0,2392358.0,0.0,965.0,3805135.0,0.00545433303,27284.0,12424.0,3587.0,8051.0,3474.0,1.05028307,7440.0,27043.0,0.0459574983,7440.0,113.0,611.0,2275251.0,241.0,27043.0,3474.0,37957.0,NaN,NaN
DDR4_3200W_x8_cfg.yaml,631,273283.0,4619853.0,0.0,14753.0,2446877.0,11437.0,1180453.0,4.0,10000000.0,0.0,1.0,5531.0,1732445.0,84.0,114.726273,0.189563885,84.0,1049.0,338226.0,0.0,1.0,634551.0,0.00506105553,1853.0,8768.0,2376.0,1303.0,2376.0,0.195230439,1302.0,1853.0,0.000605502632,1302.0,0.0,1.0,328409.0,0.0,1853.0,2376.0,5531.0,NaN,NaN
DDR4_3200W_x8_cfg.yaml,657,388005.0,5195698.0,0.0,40025.0,2523907.0,34.0,644922.0,34.0,10000000.0,0.0,0.0,15959.0,1948387.0,NaN,67.7605743,0.35257113,0.0,0.0,695521.0,0.0,0.0,1081391.0,0.00440158974,15674.0,8576.0,284.0,1.0,284.0,0.356972724,1.0,15674.0,0.0,1.0,0.0,0.0,686945.0,0.0,15674.0,284.0,15959.0,NaN,NaN
DDR4_3200W_x8_cfg.yaml,641,88864.0,4247492.0,168.0,3941.0,2473095.0,745.0,942670.0,0.0,10000000.0,0.0,0.0,1939.0,1592810.0,NaN,98.5528641,0.0597076863,0.0,0.0,102310.0,0.0,0.0,191094.0,0.00452470779,837.0,7207.0,846.0,256.0,846.0,0.0642323941,256.0,837.0,0.0,256.0,0.0,0.0,95103.0,0.0,837.0,846.0,1939.0,NaN,NaN
DDR4_3200W_x8_cfg.yaml,648,3915.0,4672934.0,173.0,925.0,2456176.0,141.0,1559963.0,0.0,10000000.0,0.0,0.0,220.0,1752350.0,NaN,84.3590927,0.00634747604,0.0,0.0,11623.0,0.0,0.0,18559.0,0.000285331131,173.0,500.0,38.0,9.0,38.0,0.0066328072,9.0,173.0,0.0,9.0,0.0,0.0,11123.0,0.0,173.0,38.0,220.0,NaN,NaN
DDR4_3200W_x8_cfg.yaml,620,2422440.0,9660091.0,47100.0,220108.0,2608419.0,39629.0,1404275.0,96744.0,10000000.0,0.0,18390.0,113126.0,3622534.0,82.0293655,112.468735,1.75874674,1508520.0,2367019.0,8764462.0,0.0,18390.0,12723138.0,0.00726646045,52031.0,26323.0,10060.0,69425.0,8974.0,2.41942859,52484.0,51668.0,0.653415263,52484.0,1086.0,16941.0,6371120.0,363.0,51668.0,8974.0,113126.0,NaN,NaN
DDR4_3200W_x8_cfg.yaml,623,3115740.0,11130896.0,2961.0,880879.0,2701538.0,2032.0,126674.0,251653.0,10000000.0,0.0,426.0,268037.0,4174086.0,76.8638535,76.0815964,3.12746763,32744.0,34234.0,13111944.0,0.0,426.0,20392682.0,0.00560386153,250020.0,23391.0,9912.0,8531.0,9836.0,3.14127302,8219.0,249982.0,0.00820155628,8219.0,76.0,312.0,13054319.0,38.0,249982.0,9836.0,268037.0,NaN,NaN
DDR4_3200W_x8_cfg.yaml,603,6673907.0,21603871.0,377606.0,549741.0,4041446.0,1057.0,517605.0,106682.0,10000000.0,0.0,192.0,123066.0,8101452.0,57.6458321,383.086853,4.80365801,11068.0,146985.0,39104773.0,0.0,192.0,47144969.0,0.005083533,34411.0,41184.0,2847.0,86000.0,2826.0,4.82688427,85945.0,34295.0,0.0181430448,85945.0,21.0,55.0,38916604.0,116.0,34295.0,2826.0,123066.0,NaN,NaN
DDR4_3200W_x8_cfg.yaml,607,18027090.0,48081243.0,1767196.0,4067644.0,4193267.0,181690.0,907461.0,1259510.0,10000000.0,0.0,25715.0,1275888.0,18030466.0,46.9954491,168.419296,9.70206165,1208488.0,88033878.0,263080440.0,0.0,25715.0,214884158.0,0.00631586555,1141778.0,113878.0,7003.0,152815.0,5887.0,14.5908842,151444.0,1118553.0,4.88250732,151444.0,1116.0,1371.0,174932684.0,23225.0,1118553.0,5887.0,1275888.0,NaN,NaN
DDR4_3200W_x8_cfg.yaml,619,2073969.0,8450912.0,0.0,894445.0,2690737.0,54552.0,1689440.0,127542.0,10000000.0,0.0,20232.0,143926.0,3169092.0,49.8788071,73.0667496,2.12227345,1009148.0,3760335.0,10504306.0,0.0,20232.0,10516205.0,0.00577168493,154862.0,18291.0,2217.0,7079.0,1980.0,3.31461072,4224.0,137722.0,1.1865654,4224.0,237.0,2855.0,6725680.0,17140.0,137722.0,1980.0,143926.0,NaN,NaN
DDR4_3200W_x8_cfg.yaml,621,3605327.0,11703426.0,51038.0,781702.0,3787632.0,22372.0,453799.0,290496.0,10000000.0,0.0,4544.0,306880.0,4388785.0,55.9542236,70.4353867,2.90404129,254256.0,1438416.0,14208848.0,0.0,4544.0,21615212.0,0.00574623747,283327.0,25219.0,6393.0,21704.0,6243.0,3.23753572,20421.0,280216.0,0.32774812,20421.0,150.0,1283.0,12745213.0,3111.0,280216.0,6243.0,306880.0,NaN,NaN
